Lô H?,Mã t?nh,Tr?m,??i tác thi công,TT ph? trách
7435,BNH,BNH0219,CNS,TTKV1
7435,BNH,BNH0227,CNS,TTKV1
7435,BNH,BNH0231,CNS,TTKV1
7435,BNH,BNH0233,CNS,TTKV1
7435,BNH,BNH0233-11,CNS,TTKV1
7435,BNH,BNH0234,CNS,TTKV1
7435,BNH,BNH0235,CNS,TTKV1
7435,BNH,BNH0237,CNS,TTKV1
7435,BNH,BNH0266,CNS,TTKV1
7435,BNH,BNH0270,CNS,TTKV1
7435,BNH,BNH0271,CNS,TTKV1
7435,BNH,BNH0285,CNS,TTKV1
7435,BNH,BNH0286,CNS,TTKV1
7435,BNH,BNH0304,CNS,TTKV1
7435,BNH,BNH0311,CNS,TTKV1
7435,BNH,BNH0320,CNS,TTKV1
7435,BNH,BNH0321,CNS,TTKV1
7435,BNH,BNH0329,CNS,TTKV1
7435,BNH,BNH0339,CNS,TTKV1
7435,BNH,BNH0347,CNS,TTKV1
7435,BNH,BNH0352,CNS,TTKV1
7435,BNH,BNH0360,CNS,TTKV1
7435,BNH,BNH0364,CNS,TTKV1
7435,BNH,BNH0372,CNS,TTKV1
7435,BNH,BNH0373,CNS,TTKV1
7435,BNH,BNH0375,CNS,TTKV1
7435,BNH,BNH0381,CNS,TTKV1
7435,BNH,BNH0382,CNS,TTKV1
7435,BNH,BNH0383,CNS,TTKV1
7435,BNH,BNH0385,CNS,TTKV1
7435,BNH,BNH0425,CNS,TTKV1
7435,BNH,BNH0429,CNS,TTKV1
7435,BNH,BNH0464,CNS,TTKV1
7435,BNH,BNH0472,CNS,TTKV1
7435,BNH,BNH0517,CNS,TTKV1
7435,BNH,BNH0528,CNS,TTKV1
7435,BNH,BNH0532,CNS,TTKV1
7435,BNH,BNH0532-11,CNS,TTKV1
7435,BNH,BNH0552,CNS,TTKV1
7435,BNH,BNH0581,CNS,TTKV1
7435,BNH,BNH0589,CNS,TTKV1
7435,BNH,BNH0621,CNS,TTKV1
7435,BNH,BNH0761,CNS,TTKV1
7435,BNH,BNH3993,CNS,TTKV1
7435,CBG,CBG0002,TMT,TTGPHTVT
7435,CBG,CBG0004,TMT,TTGPHTVT
7435,CBG,CBG0009,TMT,TTGPHTVT
7435,CBG,CBG0011-11,TMT,TTGPHTVT
7435,CBG,CBG0013,TMT,TTGPHTVT
7435,CBG,CBG0021,TMT,TTGPHTVT
7435,CBG,CBG0022,TMT,TTGPHTVT
7435,CBG,CBG0036,TMT,TTGPHTVT
7435,CBG,CBG0037,TMT,TTGPHTVT
7435,CBG,CBG0037-11,TMT,TTGPHTVT
7435,CBG,CBG0047,TMT,TTGPHTVT
7435,CBG,CBG0050,TMT,TTGPHTVT
7435,CBG,CBG0054,TMT,TTGPHTVT
7435,CBG,CBG0055,TMT,TTGPHTVT
7435,CBG,CBG0057-11,TMT,TTGPHTVT
7435,CBG,CBG0063-11,TMT,TTGPHTVT
7435,CBG,CBG0069,TMT,TTGPHTVT
7435,CBG,CBG0090,TMT,TTGPHTVT
7435,CBG,CBG0097,TMT,TTGPHTVT
7435,CBG,CBG0097-11,TMT,TTGPHTVT
7435,CBG,CBG0104,TMT,TTGPHTVT
7435,CBG,CBG0105,TMT,TTGPHTVT
7435,CBG,CBG0108,TMT,TTGPHTVT
7435,CBG,CBG0108-13,TMT,TTGPHTVT
7435,CBG,CBG0110,TMT,TTGPHTVT
7435,CBG,CBG0113,TMT,TTGPHTVT
7435,CBG,CBG0115-11,TMT,TTGPHTVT
7435,CBG,CBG0117,TMT,TTGPHTVT
7435,CBG,CBG0123,TMT,TTGPHTVT
7435,CBG,CBG0125-13,TMT,TTGPHTVT
7435,CBG,CBG0128,TMT,TTGPHTVT
7435,CBG,CBG0132,TMT,TTGPHTVT
7435,CBG,CBG0133,TMT,TTGPHTVT
7435,CBG,CBG0155,TMT,TTGPHTVT
7435,CBG,CBG0188,TMT,TTGPHTVT
7435,CBG,CBG0221,TMT,TTGPHTVT
7435,CBG,CBG0222,TMT,TTGPHTVT
7435,CBG,CBG0227,TMT,TTGPHTVT
7435,CBG,CBG0228,TMT,TTGPHTVT
7435,CBG,CBG0230,TMT,TTGPHTVT
7435,CBG,CBG0231,TMT,TTGPHTVT
7435,CBG,CBG0238,TMT,TTGPHTVT
7435,CBG,CBG0250,TMT,TTGPHTVT
7435,CBG,CBG0251,TMT,TTGPHTVT
7435,CBG,CBG0273,TMT,TTGPHTVT
7435,CBG,CBG0279,TMT,TTGPHTVT
7435,CBG,CBG0291,TMT,TTGPHTVT
7435,CBG,CBG0306,TMT,TTGPHTVT
7435,CBG,CBG0310,TMT,TTGPHTVT
7435,CBG,CBG0312,TMT,TTGPHTVT
7435,CBG,CBG0313,TMT,TTGPHTVT
7435,CBG,CBG0331,TMT,TTGPHTVT
7435,CBG,CBG0333,TMT,TTGPHTVT
7435,CBG,CBG0334,TMT,TTGPHTVT
7435,CBG,CBG0342,TMT,TTGPHTVT
7435,CBG,CBG0344,TMT,TTGPHTVT
7435,CBG,CBG0345,TMT,TTGPHTVT
7435,CBG,CBG0352,TMT,TTGPHTVT
7435,CBG,CBG0355,TMT,TTGPHTVT
7435,CBG,CBG0374,TMT,TTGPHTVT
7435,CBG,CBG0378,TMT,TTGPHTVT
7435,CBG,CBG0379-11,TMT,TTGPHTVT
7435,CBG,CBG0381,TMT,TTGPHTVT
7435,CBG,CBG0391,TMT,TTGPHTVT
7435,CBG,CBG0395,TMT,TTGPHTVT
7435,CBG,CBG0401,TMT,TTGPHTVT
7435,CBG,CBG0402-11,TMT,TTGPHTVT
7435,CBG,CBG0410,TMT,TTGPHTVT
7435,CBG,CBG0417,TMT,TTGPHTVT
7435,CBG,CBG0423,TMT,TTGPHTVT
7435,CBG,CBG0429-11,TMT,TTGPHTVT
7435,CBG,CBG0432,TMT,TTGPHTVT
7435,CBG,CBG0450,TMT,TTGPHTVT
7435,CBG,CBG0452,TMT,TTGPHTVT
7435,CBG,CBG0453,TMT,TTGPHTVT
7435,CBG,CBG0458,TMT,TTGPHTVT
7435,CBG,CBG0463,TMT,TTGPHTVT
7435,CBG,CBG0471,TMT,TTGPHTVT
7435,CBG,CBG0480,TMT,TTGPHTVT
7435,CBG,CBG0481,TMT,TTGPHTVT
7435,CBG,CBG0484-11,TMT,TTGPHTVT
7435,CBG,CBG0489,TMT,TTGPHTVT
7435,CBG,CBG0492,TMT,TTGPHTVT
7435,CBG,CBG0498,TMT,TTGPHTVT
7435,CBG,CBG0507,TMT,TTGPHTVT
7435,CBG,CBG0511,TMT,TTGPHTVT
7435,CBG,CBG0517,TMT,TTGPHTVT
7435,CBG,CBG0524-11,TMT,TTGPHTVT
7435,CBG,CBG0530,TMT,TTGPHTVT
7435,CBG,CBG3961,TMT,TTGPHTVT
7435,DBN,DBN0002,TMT,TTGPHTVT
7435,DBN,DBN0008,TMT,TTGPHTVT
7435,DBN,DBN0011,TMT,TTGPHTVT
7435,DBN,DBN0012,TMT,TTGPHTVT
7435,DBN,DBN0015,TMT,TTGPHTVT
7435,DBN,DBN0016,TMT,TTGPHTVT
7435,DBN,DBN0018,TMT,TTGPHTVT
7435,DBN,DBN0019,TMT,TTGPHTVT
7435,DBN,DBN0020-11,TMT,TTGPHTVT
7435,DBN,DBN0022-11,TMT,TTGPHTVT
7435,DBN,DBN0023,TMT,TTGPHTVT
7435,DBN,DBN0026,TMT,TTGPHTVT
7435,DBN,DBN0030,TMT,TTGPHTVT
7435,DBN,DBN0033,TMT,TTGPHTVT
7435,DBN,DBN0038,TMT,TTGPHTVT
7435,DBN,DBN0052,TMT,TTGPHTVT
7435,DBN,DBN0053,TMT,TTGPHTVT
7435,DBN,DBN0067-11,TMT,TTGPHTVT
7435,DBN,DBN0078-11,TMT,TTGPHTVT
7435,DBN,DBN0079,TMT,TTGPHTVT
7435,DBN,DBN0079-33,TMT,TTGPHTVT
7435,DBN,DBN0086,TMT,TTGPHTVT
7435,DBN,DBN0089-33,TMT,TTGPHTVT
7435,DBN,DBN0092,TMT,TTGPHTVT
7435,DBN,DBN0095,TMT,TTGPHTVT
7435,DBN,DBN0102,TMT,TTGPHTVT
7435,DBN,DBN0106,TMT,TTGPHTVT
7435,DBN,DBN0107,TMT,TTGPHTVT
7435,DBN,DBN0180,TMT,TTGPHTVT
7435,DBN,DBN0181,TMT,TTGPHTVT
7435,DBN,DBN0181-11,TMT,TTGPHTVT
7435,DBN,DBN0184,TMT,TTGPHTVT
7435,DBN,DBN0184-11,TMT,TTGPHTVT
7435,DBN,DBN0187,TMT,TTGPHTVT
7435,DBN,DBN0194,TMT,TTGPHTVT
7435,DBN,DBN0202,TMT,TTGPHTVT
7435,DBN,DBN0205,TMT,TTGPHTVT
7435,DBN,DBN0206,TMT,TTGPHTVT
7435,DBN,DBN0221,TMT,TTGPHTVT
7435,DBN,DBN0222,TMT,TTGPHTVT
7435,DBN,DBN0223,TMT,TTGPHTVT
7435,DBN,DBN0225-11,TMT,TTGPHTVT
7435,DBN,DBN0232,TMT,TTGPHTVT
7435,DBN,DBN0240,TMT,TTGPHTVT
7435,DBN,DBN0242,TMT,TTGPHTVT
